AnimalModels;4.2,3
Anthropoids;1.7,-4.2
Bathroom;-4.5,8
BronzeTools;-1,3
BuildingMethodsAndFacilities;-5,-3.5
BurialTradition2;-7,-4.5
CanaaniteStelae;1.5,7.5
CarpenterTools;-15.9,6.9
ChalcolitePeriod;1.5,-0.7
ClayAmphorae;6,6.2
Coins;9,1
ColumnNearCoffins;6,-1.5
CraftsAndArts;-3.5,-3.5
Cyprus;15.2,6.5
DecoratedDoors;1.2,-5.2
DuckBoxIvories;1.5,6.5
EntranceGallileeRebellion;0,5
EntranceReubenHecht;7.2,-6
EverydayPottery;-6,-2.4
Gems;12,7.7
GlassOvenVessels;-4,4
GreeceEgypt;16,4.7
ImportedPottery;-4,-5
IvoryWomanPhoenician;4.7,6.7
Jerusalem;13.7,4.2
JerusalemPhoto;0.25,-7.6
JewishCoffins;3,-2.5
LeadCoffinMosaic;3.7,-1
MaritimeArcheology;-15.9,3
MaritimeCommerce;-5.3,-4.7
MaterialCultures;-1.5,-3
MenorahJewishEpigraphy;3.7,-5
MosaicfromSynagogue;-2,0.5
OilLamps;15.7,1.2
PersianCult;3,-7.5
Phoenicians;-1.5,-1.5
PhoenicianWriting1;-7,-3
Pottery;-15.9,4.5
ReligionAndCult;-4.5,-2.4
RomanDivinitiesStatuettes;6,-5
SevenSpecies;11.5,1.5
ShipBack;-12,5.5
ShipBigScreen;-9.5,6
ShipEntrance;-9,4.5
ShipFront;-10.5,4
StoneVesselsBowl;-3.5,-0.5
SymbolsJewishMenorah;5.3,-7.3
TempleMount;11.7,5.2
UpperFloorEntrance;15.5,-0.5
Weights;10,4.5
WoodenTools;-7,-1
